Word,Frequency,Number of Syllables,Number of Characters,Number of Syllables and Diacritics,Complex
di_động,8,2,6,8,0
nâng_cấp,8,2,7,10,0
sợi,8,1,3,5,0
hiểu_biết,8,2,8,12,0
dường_như,8,2,8,12,0
tham_khảo,8,2,8,9,0
kích,8,1,4,5,0
hành_lang,8,2,8,9,0
tô,8,1,2,3,0
đình,8,1,4,5,0
thất_vọng,8,2,8,11,0
đại_lý,8,2,5,7,0
tháp,8,1,4,5,0
mượn,8,1,4,7,0
bất,8,1,3,5,0
chứng,8,1,5,7,0
trái_tim,8,2,7,8,0
dựng,8,1,4,6,0
động,8,1,4,6,0
tết,8,1,3,5,0
thời_sự,8,2,6,10,0
vui_vẻ,8,2,5,6,0
tài_trợ,8,2,6,9,0
lạnh,8,1,4,5,0
bồ,8,1,2,4,0
doanh,8,1,5,5,0
trọn,8,1,4,5,0
thắng_lợi,8,2,8,12,0
kinh,8,1,4,4,0
đầm,8,1,3,5,0
trùng,8,1,5,6,0
vận,8,1,3,5,0
thông_minh,8,2,9,10,0
môi,8,1,3,4,0
cua,8,1,3,3,0
dồn,8,1,3,5,0
yên_tâm,8,2,6,8,0
tôm,8,1,3,4,0
chút,8,1,4,5,0
tiện,8,1,4,6,0
quản,8,1,4,5,0
áp,8,1,2,3,0
điền,8,1,4,6,0
huy_chương,8,2,9,11,0
bạc,8,1,3,4,0
nhiễm,8,1,5,7,0
ngài,8,1,4,5,0
chôn,8,1,4,5,0
liên_hoan,8,2,8,9,0
tam,8,1,3,3,0
cành,8,1,4,5,0
giây,9,1,4,5,0
nước_mắt,9,2,7,12,0
quãng,9,1,5,6,0
cản,9,1,3,4,0
thuận,9,1,5,7,0
chắc,9,1,4,6,0
trò,9,1,3,4,0
săn,9,1,3,4,0
cước,9,1,4,7,0
lấp,9,1,3,5,0
thể,9,1,3,5,0
khởi_động,9,2,8,12,0
lún,9,1,3,4,0
ô,9,1,1,2,0
tính_năng,9,2,8,10,0
sản,9,1,3,4,0
ông_bà,9,2,5,7,0
mệt_mỏi,9,2,6,9,0
trang_phục,9,2,9,10,0
làm_chủ,9,2,6,8,0
văn,9,1,3,4,0
tia,9,1,3,3,0
thiện,9,1,5,7,0
liên_lạc,9,2,7,9,0
cẩn_thận,9,2,7,11,0
du,9,1,2,2,0
tính_toán,9,2,8,10,0
lợi_ích,9,2,6,9,0
than,9,1,4,4,0
đạo,9,1,3,4,0
thừa,9,1,4,6,0
phục_hồi,9,2,7,10,0
hợp_pháp,9,2,7,10,0
gia_cầm,9,2,6,8,0
tuyển_dụng,9,2,9,12,0
phòng_ngự,9,2,8,11,0
bìa,9,1,3,4,0
quyển,9,1,5,7,0
bột,9,1,3,5,0
vội,9,1,3,5,0
mua_sắm,9,2,6,8,0
phản,9,1,4,5,0
cương,9,1,5,7,0
không_những,10,2,10,13,0
thức,10,1,4,6,0
mãi,10,1,3,4,0
tổn_thương,10,2,9,13,0
diễn_đàn,10,2,7,10,0
dạy,10,1,3,4,0
hài_lòng,10,2,7,9,0
địa,10,1,3,4,0
cường_độ,10,2,7,12,0
cố_định,10,2,6,9,0
hưng,10,1,4,5,0
phân_biệt,10,2,8,11,0
khô,10,1,3,4,0
cọc,10,1,3,4,0
ngọc,10,1,4,5,0
cảm_giác,10,2,7,9,0
thăm_dò,10,2,6,8,0
cỡ,10,1,2,4,0
kết_cấu,10,2,6,10,0
sáng_tạo,10,2,7,9,0
nếu_như,10,2,6,9,0
hoá,10,1,3,4,0
duyệt,10,1,5,7,0
tuy_vậy,10,2,6,8,0
đằng,10,1,4,6,0
thầy,10,1,4,6,0
đối,10,1,3,5,0
truy_cập,10,2,7,9,0
sổ,10,1,2,4,0
bụng,10,1,4,5,0
lãi_suất,10,2,7,10,0
kẻ_cướp,10,2,6,10,0
cờ,10,1,2,4,0
phong_phú,10,2,8,9,0
thèm,10,1,4,5,0
tứ,10,1,2,4,0
mực,10,1,3,5,0
cực_kỳ,11,2,5,8,0
tận_dụng,11,2,7,10,0
biến_dạng,11,2,8,11,0
nghiêng,11,1,7,8,0
cắm,11,1,3,5,0
nổi_bật,11,2,6,10,0
khánh,11,1,5,6,0
thái_bình,11,2,8,10,0
mặt_đất,11,2,6,10,0
sôi_động,11,2,7,10,0
đặc_điểm,11,2,7,11,0
tách,11,1,4,5,0
bảo_mật,11,2,6,9,0
cãi,11,1,3,4,0
cận,11,1,3,5,0
tổng_thư_ký,11,3,9,13,0
đặc_trưng,11,2,8,11,0
kích_thước,11,2,9,13,0
khác_biệt,11,2,8,11,0
đèn,11,1,3,4,0
tự_động,11,2,6,10,0
phong_trào,11,2,9,10,0
đào,11,1,3,4,0
hài,11,1,3,4,0
gà,11,1,2,3,0
rủ,11,1,2,3,0
chỉ_thị,11,2,6,8,0
che,11,1,3,3,0
tức_là,11,2,5,8,0
lẽ,11,1,2,3,0
làm_sao,11,2,6,7,0
sư,11,1,2,3,0
dự_định,11,2,6,9,0
khiếu_nại,11,2,8,11,0
hở,11,1,2,4,0
vang,11,1,4,4,0
nhầm,11,1,4,6,0
mềm,11,1,3,5,0
phượng,12,1,6,9,0
